"id","cell"
"ENSG00000115419","7316_158_S"
"ENSG00000177542","7316_158_S"
"ENSG00000091140 and ENSG00000105953 and ENSG00000119689","7316_158_S"
"ENSG00000111371","7316_158_S"
"ENSG00000144659","7316_158_S"
"ENSG00000123453","7316_158_S"
"ENSG00000033867","7316_158_S"
"ENSG00000066926","7316_158_S"
"ENSG00000108784","7316_158_S"
"ENSG00000012232","7316_158_S"
"ENSG00000153936","7316_158_S"
"ENSG00000136720","7316_158_S"
"ENSG00000151348 and ENSG00000182197","7316_158_S"
"ENSG00000064763","7316_158_S"
"ENSG00000134294","7316_158_S"
"ENSG00000112972","7316_158_S"
"ENSG00000256269","7316_158_S"
"ENSG00000151229","7316_158_S"
"ENSG00000198743","7316_158_S"
"ENSG00000160285","7316_158_S"
"ENSG00000178537","7316_158_S"
"ENSG00000103257 and ENSG00000168003","7316_158_S"
"ENSG00000121897","7316_158_S"
"ENSG00000116120 and ENSG00000179115","7316_158_S"
"ENSG00000100294","7316_158_S"
"ENSG00000100413","7316_158_S"
"ENSG00000178802","7316_158_S"
"ENSG00000116984","7316_158_S"
"ENSG00000184470","7316_158_S"
"ENSG00000101901","7316_158_S"
"ENSG00000168282","7316_158_S"
"ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562","7316_158_S"
"ENSG00000144136","7316_158_S"
"ENSG00000172269","7316_158_S"
"ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195","7316_158_S"
"ENSG00000111261","7316_158_S"
"ENSG00000013375","7316_158_S"
"ENSG00000100522","7316_158_S"
"ENSG00000095380","7316_158_S"
"ENSG00000105835","7316_158_S"
"ENSG00000147813","7316_158_S"
"ENSG00000170340","7316_158_S"
"ENSG00000131446","7316_158_S"
"ENSG00000134255","7316_158_S"
"ENSG00000157593","7316_158_S"
"ENSG00000241878","7316_158_S"
"ENSG00000074800","7316_158_S"
"ENSG00000171862","7316_158_S"
"ENSG00000138621","7316_158_S"
"ENSG00000103502","7316_158_S"
"ENSG00000079459","7316_158_S"
"ENSG00000163684","7316_158_S"
"ENSG00000110958","7316_158_S"
"ENSG00000143224","7316_158_S"
"ENSG00000080819","7316_158_S"
"ENSG00000114491","7316_158_S"
"ENSG00000100092","7316_158_S"
"ENSG00000082212","7316_158_S"
"ENSG00000101187","7316_158_S"
"ENSG00000006695","7316_158_S"
"ENSG00000131828 and ENSG00000168291","7316_158_S"
"ENSG00000123505","7316_158_S"
"ENSG00000116237","7316_158_S"
"ENSG00000144741","7316_158_S"
"ENSG00000111237","7316_158_S"
"ENSG00000011009","7316_158_S"
"ENSG00000119537","7316_158_S"
"ENSG00000104549","7316_158_S"
"ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370","7316_158_S"
"ENSG00000163541 and ENSG00000172340","7316_158_S"
"ENSG00000139531","7316_158_S"
"ENSG00000117479","7316_158_S"
"ENSG00000100626","7316_158_S"
"ENSG00000167969","7316_158_S"
"ENSG00000132423","7316_158_S"
"ENSG00000102967","7316_158_S"
"ENSG00000158470","7316_158_S"
