ModelConditionID,ModelID,ParentModelConditionID,CellFormat,PassageNumber,GrowthMedia,FormulationID,PlateCoating
MC-000802-q2Cm,ACH-000802,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000802-XNE7,ACH-000802,,adherent,,,,None
MC-000803-P28d,ACH-000803,,suspension,,,,None
MC-000803-vCJK,ACH-000803,,,,,,None
MC-000804-cKqO,ACH-000804,,adherent,,,,None
MC-000804-Hxgj,ACH-000804,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000805-qr8y,ACH-000805,,monolayer,,,,None
MC-000805-uUAU,ACH-000805,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000806-fUz0,ACH-000806,,suspension,,MF-001-020,RPMI + 20% FBS,None
MC-000806-pQw5,ACH-000806,,suspension,,,,None
MC-000807-JcJt,ACH-000807,,monolayer,,,,None
MC-000808-WFgD,ACH-000808,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000809-3ot9,ACH-000809,,monolayer,,,,None
MC-000809-gZQY,ACH-000809,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000810-5d7Q,ACH-000810,,adherent,,,,None
MC-000810-vJi3,ACH-000810,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000811-Gp6a,ACH-000811,,adherent,,,,None
MC-000811-kbFV,ACH-000811,,adherent,,MF-023-001,McCoy's 5A + 10% FBS,None
MC-000812-m0LT,ACH-000812,,monolayer,,,,None
MC-000812-ogze,ACH-000812,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000813-774N,ACH-000813,,adherent,,,,None
MC-000814-Adkx,ACH-000814,,adherent,,,,None
MC-000814-sJb7,ACH-000814,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000815-2aJs,ACH-000815,,,,,,None
MC-000815-VkMT,ACH-000815,,suspension,,,,None
MC-000816-fYn1,ACH-000816,,suspension,,,,None
MC-000816-jwfl,ACH-000816,,suspension,,,,None
MC-000817-8WNg,ACH-000817,,mixed,,,,None
MC-000817-xdTH,ACH-000817,,mixed,,MF-001-001,RPMI + 10% FBS,None
MC-000818-Gx0J,ACH-000818,,adherent,,,,None
MC-000818-TCKc,ACH-000818,,adherent,,,,None
MC-000819-hAT2,ACH-000819,,adherent,,MF-002-008,DMEM + 5% FBS,None
MC-000819-Stb8,ACH-000819,,adherent,,,,None
MC-000820-TEES,ACH-000820,,adherent,,MF-021-001,L-15 + 10% FBS,None
MC-000821-5U4q,ACH-000821,,mixed,,MF-005-001,IMDM + 10% FBS,None
MC-000821-JAyU,ACH-000821,,mixed,,,,None
MC-000822-5No9,ACH-000822,,adherent,,MF-006-001,MEM + 10% FBS,None
MC-000822-KyYt,ACH-000822,,adherent,,,,None
MC-000823-gUsF,ACH-000823,,monolayer,,,,None
MC-000823-tiwS,ACH-000823,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000824-akuc,ACH-000824,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000824-iT8M,ACH-000824,,adherent,,,,None
MC-000825-rKGp,ACH-000825,,mixed,,,,None
MC-000825-XqQc,ACH-000825,,mixed,,,,None
MC-000826-IUyj,ACH-000826,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000826-oZ2o,ACH-000826,,adherent,,,,None
MC-000827-6ReA,ACH-000827,,adherent,,,,None
MC-000827-fiMz,ACH-000827,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000828-17AC,ACH-000828,,adherent,,,,None
MC-000828-Zsfm,ACH-000828,,adherent,,MF-001-001,RPMI + 10% FBS,None
MC-000829-Ajhg,ACH-000829,,suspension,,MF-001-017,RPMI + 15% FBS,None
MC-000830-uuPe,ACH-000830,,suspension,,,,None
MC-000830-ZfdN,ACH-000830,,suspension,,MF-007-010,DMEM:F12 + 5% FBS + 2mM Glutamine + 5ug/ml Insulin + 10ug/ml Transferrin + 30nM Selenium + 10nM Hydrocortisone + 10nM Beta estradiol,None
MC-000831-XRYC,ACH-000831,,adherent,,,,None
MC-000832-CjpT,ACH-000832,,adherent,,MF-002-001,DMEM + 10% FBS,None
MC-000832-JtON,ACH-000832,,,,,,None
MC-000833-KaSb,ACH-000833,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000833-yj6G,ACH-000833,,monolayer,,,,None
MC-000834-rUcv,ACH-000834,,adherent,,MF-006-002,MEM + 10% FBS + 2mM Glutamine + 100uM NEAA,None
MC-000835-jJ80,ACH-000835,,adherent,,MF-023-001,McCoy's 5A + 10% FBS,None
MC-000835-ynSu,ACH-000835,,adherent,,,,None
MC-000836-gosu,ACH-000836,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000837-Of3x,ACH-000837,,adherent,,,,None
MC-000837-xXNo,ACH-000837,,adherent,,MF-001-003,RPMI + 10% FBS + 2mM Glutamine,None
MC-000838-VbPX,ACH-000838,,suspension,,,,None
MC-000838-Zbla,ACH-000838,,suspension,,MF-001-001,RPMI + 10% FBS,None
MC-000839-d4N5,ACH-000839,,adherent,,,,None
MC-000839-krru,ACH-000839,,adherent,,,,None
MC-000840-lGr7,ACH-000840,,monolayer,,,,None
MC-000840-s0Cx,ACH-000840,,monolayer,,MF-001-001,RPMI + 10% FBS,None
MC-000841-bBw4,ACH-000841,,adherent,,MF-001-014,RPMI + 5% FBS,None
