"id","cell"
"ENSG00000136628","ACH-000002"
"ENSG00000170445","ACH-000002"
"ENSG00000121897","ACH-000002"
"ENSG00000144182","ACH-000002"
"ENSG00000196305","ACH-000002"
"ENSG00000133706","ACH-000002"
"ENSG00000065427","ACH-000002"
"ENSG00000166986","ACH-000002"
"ENSG00000116120 and ENSG00000179115","ACH-000002"
"ENSG00000031698","ACH-000002"
"ENSG00000113407","ACH-000002"
"ENSG00000140105","ACH-000002"
"ENSG00000134684","ACH-000002"
"ENSG00000204394","ACH-000002"
"ENSG00000100294","ACH-000002"
"ENSG00000100413","ACH-000002"
"ENSG00000178802","ACH-000002"
"ENSG00000116984","ACH-000002"
"ENSG00000184470","ACH-000002"
"ENSG00000101901","ACH-000002"
"ENSG00000168282","ACH-000002"
"ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562","ACH-000002"
"ENSG00000144136","ACH-000002"
"ENSG00000033867","ACH-000002"
"ENSG00000172269","ACH-000002"
"ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195","ACH-000002"
"ENSG00000013375","ACH-000002"
"ENSG00000100522","ACH-000002"
"ENSG00000095380","ACH-000002"
"ENSG00000105835","ACH-000002"
"ENSG00000147813","ACH-000002"
"ENSG00000170340","ACH-000002"
"ENSG00000131446","ACH-000002"
"ENSG00000134255","ACH-000002"
"ENSG00000157593","ACH-000002"
"ENSG00000241878","ACH-000002"
"ENSG00000074800","ACH-000002"
"ENSG00000171862","ACH-000002"
"ENSG00000138621","ACH-000002"
"ENSG00000103502","ACH-000002"
"ENSG00000079459","ACH-000002"
"ENSG00000163684","ACH-000002"
"ENSG00000110958","ACH-000002"
"ENSG00000143224","ACH-000002"
"ENSG00000080819","ACH-000002"
"ENSG00000114491","ACH-000002"
"ENSG00000100092","ACH-000002"
"ENSG00000082212","ACH-000002"
"ENSG00000006695","ACH-000002"
"ENSG00000131828 and ENSG00000168291","ACH-000002"
"ENSG00000123505","ACH-000002"
"ENSG00000116237","ACH-000002"
"ENSG00000144741","ACH-000002"
"ENSG00000111237","ACH-000002"
"ENSG00000168522 and ENSG00000257365","ACH-000002"
"ENSG00000011009","ACH-000002"
"ENSG00000119537","ACH-000002"
"ENSG00000104549","ACH-000002"
"ENSG00000073578 and ENSG00000117118 and ENSG00000143252 and ENSG00000204370","ACH-000002"
"ENSG00000163541 and ENSG00000172340","ACH-000002"
"ENSG00000139531","ACH-000002"
"ENSG00000117479","ACH-000002"
"ENSG00000101187","ACH-000002"
"ENSG00000167969","ACH-000002"
"ENSG00000132423","ACH-000002"
"ENSG00000102967","ACH-000002"
"ENSG00000158470","ACH-000002"
"ENSG00000015532","ACH-000002"
"ENSG00000102100","ACH-000002"
"ENSG00000169764","ACH-000002"
"ENSG00000117308","ACH-000002"
"ENSG00000109814","ACH-000002"
"ENSG00000116704","ACH-000002"
"ENSG00000117143","ACH-000002"
"ENSG00000171302","ACH-000002"
"ENSG00000122643","ACH-000002"
"ENSG00000188690","ACH-000002"
"ENSG00000030066 and ENSG00000069248 and ENSG00000075188 and ENSG00000110713 and ENSG00000111581 and ENSG00000120253 and ENSG00000125450","ACH-000002"
"ENSG00000106348","ACH-000002"
"ENSG00000170385","ACH-000002"
"ENSG00000161533","ACH-000002"
"ENSG00000177646","ACH-000002"
"ENSG00000146066","ACH-000002"
"ENSG00000175548","ACH-000002"
