,preds,preds_raw,gene_name,cell
368,0.0,0.0013894512,ENSG00000165304,7316_158_S
370,0.0,0.054448247,ENSG00000166333,7316_158_S
371,1.0,0.8379397,ENSG00000166483,7316_158_S
374,1.0,0.8892627,ENSG00000166851,7316_158_S
375,0.0,0.08641504,ENSG00000167258,7316_158_S
378,0.0,0.0011979704,ENSG00000168067,7316_158_S
381,0.0,0.0014369751,ENSG00000169032,7316_158_S
384,0.0,0.39147592,ENSG00000169679,7316_158_S
386,0.0,0.0011186651,ENSG00000170145,7316_158_S
387,1.0,0.8856203,ENSG00000170312,7316_158_S
390,0.0,0.0012001084,ENSG00000171219,7316_158_S
391,0.0,0.0011526116,ENSG00000172071,7316_158_S
392,0.0,0.3691152,ENSG00000172315,7316_158_S
393,0.0,0.0011469333,ENSG00000172939,7316_158_S
394,0.0,0.022782372,ENSG00000173327,7316_158_S
396,1.0,0.7989714,ENSG00000175054,7316_158_S
398,0.0,0.04080752,ENSG00000176444,7316_158_S
401,0.0,0.001105484,ENSG00000178093,7316_158_S
403,0.0,0.106276646,ENSG00000178950,7316_158_S
404,1.0,0.88108927,ENSG00000178999,7316_158_S
406,0.0,0.014753248,ENSG00000180370,7316_158_S
407,0.0,0.005236523,ENSG00000181409,7316_158_S
416,0.0,0.0011959267,ENSG00000185324,7316_158_S
418,0.0,0.0015608416,ENSG00000186716,7316_158_S
421,0.0,0.0011494659,ENSG00000188322,7316_158_S
423,0.0,0.10454013,ENSG00000196455,7316_158_S
429,0.0,0.0013025369,ENSG00000198586,7316_158_S
430,0.0,0.00097559445,ENSG00000198648,7316_158_S
433,0.0,0.0010548217,ENSG00000204217,7316_158_S
435,0.0,0.45571804,ENSG00000204435,7316_158_S
446,0.0,0.021777453,ENSG00000141736 and ENSG00000146648,7316_158_S
447,0.0,0.0022507901,ENSG00000126934 and ENSG00000169032,7316_158_S
454,0.0,0.0047660237,ENSG00000065361,7316_158_S
455,0.0,0.0029219324,ENSG00000066468,7316_158_S
458,0.0,0.031937275,ENSG00000077782,7316_158_S
459,0.0,0.022873903,ENSG00000092445,7316_158_S
460,0.0,0.0024666076,ENSG00000096968,7316_158_S
461,0.0,0.00267428,ENSG00000097007,7316_158_S
463,0.0,0.0027255944,ENSG00000103653,7316_158_S
466,0.0,0.019589609,ENSG00000105976,7316_158_S
471,0.0,0.012505895,ENSG00000113721,7316_158_S
474,0.0,0.027521234,ENSG00000134853,7316_158_S
477,0.0,0.013587339,ENSG00000140443,7316_158_S
487,0.0,0.0031569942,ENSG00000157404,7316_158_S
489,0.0,0.002167036,ENSG00000162434,7316_158_S
495,0.0,0.0018255006,ENSG00000167601,7316_158_S
498,0.0,0.19496854,ENSG00000169398,7316_158_S
508,0.0,0.001803988,ENSG00000197122,7316_158_S
512,0.0,0.06221606,ENSG00000121897,7316_158_S
513,0.0,0.008087255,ENSG00000055609 and ENSG00000272333,7316_158_S
514,1.0,0.79718184,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562,7316_158_S
515,0.0,0.03382251,ENSG00000055609 and ENSG00000167548,7316_158_S
516,0.0,0.0031401152,ENSG00000005483,7316_158_S
517,1.0,0.81002235,ENSG00000099381,7316_158_S
519,0.0,0.0140099805,ENSG00000104885,7316_158_S
520,0.0,0.002774247,ENSG00000109685,7316_158_S
521,0.0,0.034200266,ENSG00000110066,7316_158_S
522,0.0,0.0030300599,ENSG00000116539,7316_158_S
523,0.0,0.031015493,ENSG00000118058,7316_158_S
525,0.0,0.0031208452,ENSG00000136169,7316_158_S
