,preds,preds_raw,gene_name,cell
644,0.0,0.025345491,ENSG00000117528,ACH-000002
646,0.0,0.11938997,ENSG00000012232,ACH-000002
647,0.0,0.04095443,ENSG00000162694,ACH-000002
649,0.0,0.3960257,ENSG00000173085,ACH-000002
650,0.0,0.4202219,ENSG00000119537,ACH-000002
651,0.0,0.17596027,ENSG00000167186,ACH-000002
652,0.0,0.036288347,ENSG00000162882,ACH-000002
657,0.0,0.0582665,ENSG00000182199,ACH-000002
661,0.0,0.017894981,ENSG00000092621,ACH-000002
664,0.0,0.028874906,ENSG00000135069,ACH-000002
665,0.0,0.4901286,ENSG00000111237,ACH-000002
670,0.0,0.009141968,ENSG00000139631,ACH-000002
671,0.0,0.27175078,ENSG00000125166,ACH-000002
673,0.0,0.07335166,ENSG00000146701,ACH-000002
674,0.0,0.10031847,ENSG00000149809,ACH-000002
675,0.0,0.049655877,ENSG00000132570,ACH-000002
676,0.0,0.013558812,ENSG00000166228,ACH-000002
682,1.0,0.5588417,ENSG00000176890,ACH-000002
684,0.0,0.011732027,ENSG00000176974,ACH-000002
686,0.0,0.049207475,ENSG00000109929,ACH-000002
687,0.0,0.116282016,ENSG00000128039,ACH-000002
690,0.0,0.09018337,ENSG00000116984,ACH-000002
691,0.0,0.06072266,ENSG00000173638,ACH-000002
692,0.0,0.043102145,ENSG00000116649,ACH-000002
694,0.0,0.42138228,ENSG00000102172,ACH-000002
695,1.0,0.6677236,ENSG00000128059,ACH-000002
696,1.0,0.51784784,ENSG00000178921,ACH-000002
700,0.0,0.03207601,ENSG00000277161,ACH-000002
703,1.0,0.7486134,ENSG00000142657,ACH-000002
705,0.0,0.13929062,ENSG00000187630,ACH-000002
707,0.0,0.014868705,ENSG00000068903,ACH-000002
708,0.0,0.051920127,ENSG00000162066,ACH-000002
713,0.0,0.025061427,ENSG00000117305,ACH-000002
715,1.0,0.8386441,ENSG00000112972,ACH-000002
719,0.0,0.07046289,ENSG00000169359,ACH-000002
720,0.0,0.35663304,ENSG00000278540,ACH-000002
722,0.0,0.079160064,ENSG00000100522,ACH-000002
724,1.0,0.59091467,ENSG00000131473,ACH-000002
726,0.0,0.49997163,ENSG00000062485,ACH-000002
728,0.0,0.34891173,ENSG00000091140 and ENSG00000131828 and ENSG00000150768 and ENSG00000168291,ACH-000002
731,0.0,0.22038199,ENSG00000072310,ACH-000002
733,1.0,0.58868873,ENSG00000108468,ACH-000002
738,0.0,0.4476686,ENSG00000198431,ACH-000002
740,0.0,0.4291301,ENSG00000143418,ACH-000002
744,0.0,0.031709604,ENSG00000198931,ACH-000002
745,1.0,0.57982576,ENSG00000101444,ACH-000002
747,0.0,0.14116187,ENSG00000174669,ACH-000002
749,0.0,0.005275293,ENSG00000156110,ACH-000002
755,1.0,0.75475836,ENSG00000162368,ACH-000002
757,0.0,0.0035681569,ENSG00000103024,ACH-000002
760,0.0,0.03969393,ENSG00000172113,ACH-000002
761,0.0,0.021485379,ENSG00000239672,ACH-000002
762,0.0,0.19477433,ENSG00000243678,ACH-000002
763,1.0,0.59488255,ENSG00000004455,ACH-000002
764,1.0,0.7712997,ENSG00000085231,ACH-000002
765,0.0,0.011725141,ENSG00000106992,ACH-000002
769,0.0,0.24991944,ENSG00000162433,ACH-000002
771,0.0,0.02181041,ENSG00000171302,ACH-000002
776,0.0,0.21652049,ENSG00000121851 and ENSG00000090060,ACH-000002
