,preds,preds_raw,label,genes
208,0,0.47556336418863904,1,ENSG00000121897
209,0,0.1431951295798956,0,ENSG00000144182
210,1,0.999629596546324,1,ENSG00000196305
211,1,0.9685842107998212,1,ENSG00000133706
212,1,0.9988432264449659,1,ENSG00000065427
213,1,0.999060589807552,1,ENSG00000166986
214,1,0.9985076607425558,1,ENSG00000116120 and ENSG00000179115
215,1,0.9998866406589771,1,ENSG00000031698
216,1,0.9880285430554462,1,ENSG00000113407
217,1,0.9999990633918528,1,ENSG00000140105
218,1,0.9819891866442583,1,ENSG00000134684
219,1,0.9991939721769248,1,ENSG00000204394
220,0,0.08277145397616413,0,ENSG00000100294
221,1,0.927434815145625,1,ENSG00000100413
222,0,0.06309097644364885,0,ENSG00000178802
223,0,0.09532467576454873,0,ENSG00000116984
224,0,0.010276540737349694,0,ENSG00000184470
225,1,0.942262297251128,1,ENSG00000101901
226,0,0.0345591286540228,0,ENSG00000168282
227,1,0.9999703190138425,1,ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562
228,0,0.28673870747066793,0,ENSG00000144136
229,0,0.46772718832029175,1,ENSG00000033867
230,1,0.9731868209268995,1,ENSG00000172269
231,1,0.6825262072449516,0,ENSG00000007541 and ENSG00000100564 and ENSG00000135845 and ENSG00000165195
232,0,0.0608811211648896,0,ENSG00000111261
233,0,0.38374655175887634,0,ENSG00000013375
234,0,0.19313110993209706,0,ENSG00000100522
235,0,0.030511078580435277,0,ENSG00000095380
236,0,0.45974192493710625,1,ENSG00000105835
237,0,0.020288476764631354,0,ENSG00000147813
238,0,0.07988505216561081,0,ENSG00000170340
239,0,0.34683163815957424,0,ENSG00000131446
240,0,0.3689748373558685,0,ENSG00000134255
241,0,0.05934764195395511,1,ENSG00000196502
242,0,0.3901009038432335,0,ENSG00000157593
243,1,0.9593543208995292,1,ENSG00000241878
244,1,0.6326879099001422,0,ENSG00000074800
245,0,0.012063986602534313,0,ENSG00000171862
246,0,0.40423197603972694,0,ENSG00000138621
247,1,0.8240786467991202,1,ENSG00000103502
248,0,0.11793360589589216,0,ENSG00000079459
249,1,0.9801767436126358,1,ENSG00000163684
250,0,0.19759717806271282,0,ENSG00000110958
251,0,0.01798934100823291,0,ENSG00000143224
252,0,0.2694277075614582,0,ENSG00000080819
253,0,0.49073406218658844,1,ENSG00000114491
254,0,0.02007193007837064,0,ENSG00000100092
255,0,0.018795022381768483,0,ENSG00000082212
256,0,0.36496836986755427,1,ENSG00000006695
257,0,0.03434851737065006,0,ENSG00000131828 and ENSG00000168291
258,0,0.4836336998346357,0,ENSG00000123505
259,0,0.2020506587070423,0,ENSG00000116237
260,0,0.27808870336833136,0,ENSG00000144741
261,1,0.5484007788481281,0,ENSG00000111237
262,0,0.12205148456751044,0,ENSG00000011009
