"from"	"to"	"Metabolite"
"6912"	"ENSG00000117308"	"ENSG00000100372"	"m1060"
"6919"	"ENSG00000117308"	"ENSG00000169710"	"m1060"
"6922"	"ENSG00000117308"	"ENSG00000087008"	"m1060"
"6923"	"ENSG00000117308"	"ENSG00000161533"	"m1060"
"6927"	"ENSG00000100116"	"ENSG00000100372"	"m1060"
"6934"	"ENSG00000100116"	"ENSG00000169710"	"m1060"
"6937"	"ENSG00000100116"	"ENSG00000087008"	"m1060"
"6938"	"ENSG00000100116"	"ENSG00000161533"	"m1060"
"6942"	"ENSG00000107798"	"ENSG00000100372"	"m1060"
"6949"	"ENSG00000107798"	"ENSG00000169710"	"m1060"
"6952"	"ENSG00000107798"	"ENSG00000087008"	"m1060"
"6953"	"ENSG00000107798"	"ENSG00000161533"	"m1060"
"6972"	"ENSG00000157353"	"ENSG00000100372"	"m1060"
"6979"	"ENSG00000157353"	"ENSG00000169710"	"m1060"
"6982"	"ENSG00000157353"	"ENSG00000087008"	"m1060"
"6983"	"ENSG00000157353"	"ENSG00000161533"	"m1060"
"7002"	"ENSG00000196177"	"ENSG00000100372"	"m1060"
"7009"	"ENSG00000196177"	"ENSG00000169710"	"m1060"
"7012"	"ENSG00000196177"	"ENSG00000087008"	"m1060"
"7013"	"ENSG00000196177"	"ENSG00000161533"	"m1060"
"7032"	"ENSG00000117054"	"ENSG00000100372"	"m1060"
"7039"	"ENSG00000117054"	"ENSG00000169710"	"m1060"
"7042"	"ENSG00000117054"	"ENSG00000087008"	"m1060"
"7043"	"ENSG00000117054"	"ENSG00000161533"	"m1060"
"7047"	"ENSG00000176974"	"ENSG00000100372"	"m1060"
"7054"	"ENSG00000176974"	"ENSG00000169710"	"m1060"
"7057"	"ENSG00000176974"	"ENSG00000087008"	"m1060"
"7058"	"ENSG00000176974"	"ENSG00000161533"	"m1060"
"7077"	"ENSG00000106633"	"ENSG00000100372"	"m1060"
"7084"	"ENSG00000106633"	"ENSG00000169710"	"m1060"
"7087"	"ENSG00000106633"	"ENSG00000087008"	"m1060"
"7088"	"ENSG00000106633"	"ENSG00000161533"	"m1060"
"7092"	"ENSG00000162066"	"ENSG00000100372"	"m1060"
"7099"	"ENSG00000162066"	"ENSG00000169710"	"m1060"
"7102"	"ENSG00000162066"	"ENSG00000087008"	"m1060"
"7103"	"ENSG00000162066"	"ENSG00000161533"	"m1060"
"7122"	"ENSG00000153574"	"ENSG00000100372"	"m1060"
"7129"	"ENSG00000153574"	"ENSG00000169710"	"m1060"
"7132"	"ENSG00000153574"	"ENSG00000087008"	"m1060"
"7133"	"ENSG00000153574"	"ENSG00000161533"	"m1060"
"7167"	"ENSG00000162551"	"ENSG00000100372"	"m1060"
"7174"	"ENSG00000162551"	"ENSG00000169710"	"m1060"
"7177"	"ENSG00000162551"	"ENSG00000087008"	"m1060"
"7178"	"ENSG00000162551"	"ENSG00000161533"	"m1060"
"7182"	"ENSG00000111058"	"ENSG00000100372"	"m1060"
"7189"	"ENSG00000111058"	"ENSG00000169710"	"m1060"
"7192"	"ENSG00000111058"	"ENSG00000087008"	"m1060"
"7193"	"ENSG00000111058"	"ENSG00000161533"	"m1060"
"7197"	"ENSG00000110195"	"ENSG00000100372"	"m1060"
"7204"	"ENSG00000110195"	"ENSG00000169710"	"m1060"
"7207"	"ENSG00000110195"	"ENSG00000087008"	"m1060"
"7208"	"ENSG00000110195"	"ENSG00000161533"	"m1060"
"7227"	"ENSG00000100714"	"ENSG00000100372"	"m1060"
"7237"	"ENSG00000100714"	"ENSG00000087008"	"m1060"
"7238"	"ENSG00000100714"	"ENSG00000161533"	"m1060"
"7242"	"ENSG00000104522"	"ENSG00000100372"	"m1060"
"7249"	"ENSG00000104522"	"ENSG00000169710"	"m1060"
"7252"	"ENSG00000104522"	"ENSG00000087008"	"m1060"
"7253"	"ENSG00000104522"	"ENSG00000161533"	"m1060"
"7301"	"ENSG00000006534"	"ENSG00000068366"	"m1081"
"7302"	"ENSG00000006534"	"ENSG00000103740"	"m1081"
"7303"	"ENSG00000006534"	"ENSG00000123983"	"m1081"
"7304"	"ENSG00000006534"	"ENSG00000130377"	"m1081"
"7305"	"ENSG00000006534"	"ENSG00000140284"	"m1081"
"7306"	"ENSG00000006534"	"ENSG00000151726"	"m1081"
"7307"	"ENSG00000006534"	"ENSG00000164398"	"m1081"
"7308"	"ENSG00000006534"	"ENSG00000197142"	"m1081"
"7309"	"ENSG00000006534"	"ENSG00000239642"	"m1081"
"7311"	"ENSG00000006534"	"ENSG00000086159"	"m1081"
"7312"	"ENSG00000006534"	"ENSG00000100170"	"m1081"
"7313"	"ENSG00000006534"	"ENSG00000103375"	"m1081"
"7314"	"ENSG00000006534"	"ENSG00000143595"	"m1081"
"7315"	"ENSG00000006534"	"ENSG00000161798"	"m1081"
"7316"	"ENSG00000006534"	"ENSG00000165269"	"m1081"
"7317"	"ENSG00000006534"	"ENSG00000165272"	"m1081"
"7318"	"ENSG00000006534"	"ENSG00000167580"	"m1081"
"7319"	"ENSG00000006534"	"ENSG00000171885"	"m1081"
"7320"	"ENSG00000006534"	"ENSG00000240583"	"m1081"
"7321"	"ENSG00000006534"	"ENSG00000259916"	"m1081"
"7322"	"ENSG00000006534"	"ENSG00000131069"	"m1081"
"7323"	"ENSG00000006534"	"ENSG00000130717"	"m1081"
"7324"	"ENSG00000006534"	"ENSG00000143179"	"m1081"
"7325"	"ENSG00000006534"	"ENSG00000198276"	"m1081"
"7328"	"ENSG00000006534"	"ENSG00000134538"	"m1081"
"7329"	"ENSG00000006534"	"ENSG00000116199"	"m1081"
"7330"	"ENSG00000006534"	"ENSG00000141560"	"m1081"
"7331"	"ENSG00000006534"	"ENSG00000162408"	"m1081"
"7332"	"ENSG00000006534"	"ENSG00000167363"	"m1081"
"7333"	"ENSG00000006534"	"ENSG00000172456"	"m1081"
"7334"	"ENSG00000006534"	"ENSG00000146701"	"m1081"
"7335"	"ENSG00000086159"	"ENSG00000116157"	"m1082"
"7336"	"ENSG00000086159"	"ENSG00000117450"	"m1082"
"7337"	"ENSG00000086159"	"ENSG00000117592"	"m1082"
"7338"	"ENSG00000086159"	"ENSG00000126432"	"m1082"
"7339"	"ENSG00000086159"	"ENSG00000164294"	"m1082"
"7340"	"ENSG00000086159"	"ENSG00000165672"	"m1082"
"7341"	"ENSG00000086159"	"ENSG00000167468"	"m1082"
"7342"	"ENSG00000086159"	"ENSG00000167815"	"m1082"
"7343"	"ENSG00000086159"	"ENSG00000176153"	"m1082"
"7344"	"ENSG00000086159"	"ENSG00000198704"	"m1082"
"7345"	"ENSG00000086159"	"ENSG00000211445"	"m1082"
"7346"	"ENSG00000086159"	"ENSG00000224586"	"m1082"
"7347"	"ENSG00000086159"	"ENSG00000233276"	"m1082"
"7349"	"ENSG00000086159"	"ENSG00000068366"	"m1082"
"7350"	"ENSG00000086159"	"ENSG00000103740"	"m1082"
"7351"	"ENSG00000086159"	"ENSG00000123983"	"m1082"
"7352"	"ENSG00000086159"	"ENSG00000130377"	"m1082"
"7353"	"ENSG00000086159"	"ENSG00000140284"	"m1082"
"7354"	"ENSG00000086159"	"ENSG00000151726"	"m1082"
"7355"	"ENSG00000086159"	"ENSG00000164398"	"m1082"
"7356"	"ENSG00000086159"	"ENSG00000197142"	"m1082"
"7357"	"ENSG00000086159"	"ENSG00000239642"	"m1082"
"7359"	"ENSG00000086159"	"ENSG00000138185"	"m1082"
"7360"	"ENSG00000086159"	"ENSG00000168032"	"m1082"
"7361"	"ENSG00000086159"	"ENSG00000188833"	"m1082"
"7363"	"ENSG00000086159"	"ENSG00000101911"	"m1082"
"7364"	"ENSG00000086159"	"ENSG00000147224"	"m1082"
"7365"	"ENSG00000086159"	"ENSG00000229937"	"m1082"
"7367"	"ENSG00000086159"	"ENSG00000138801"	"m1082"
"7368"	"ENSG00000086159"	"ENSG00000198682"	"m1082"
"7369"	"ENSG00000086159"	"ENSG00000054179"	"m1082"
"7372"	"ENSG00000086159"	"ENSG00000171302"	"m1082"
"7373"	"ENSG00000086159"	"ENSG00000187097"	"m1082"
"7375"	"ENSG00000086159"	"ENSG00000197217"	"m1082"
"7376"	"ENSG00000086159"	"ENSG00000197586"	"m1082"
"7387"	"ENSG00000107798"	"ENSG00000057252"	"m1086"
"7388"	"ENSG00000107798"	"ENSG00000167780"	"m1086"
"7393"	"ENSG00000007350"	"ENSG00000057252"	"m1086"
"7394"	"ENSG00000007350"	"ENSG00000167780"	"m1086"
"7399"	"ENSG00000121691"	"ENSG00000012660"	"m1087"
"7400"	"ENSG00000121691"	"ENSG00000066322"	"m1087"
"7401"	"ENSG00000121691"	"ENSG00000118402"	"m1087"
"7402"	"ENSG00000121691"	"ENSG00000119915"	"m1087"
"7403"	"ENSG00000121691"	"ENSG00000164181"	"m1087"
"7404"	"ENSG00000121691"	"ENSG00000170522"	"m1087"
"7405"	"ENSG00000121691"	"ENSG00000197977"	"m1087"
"7406"	"ENSG00000121691"	"ENSG00000134538"	"m1087"
"7407"	"ENSG00000121691"	"ENSG00000057252"	"m1087"
"7408"	"ENSG00000121691"	"ENSG00000167780"	"m1087"
"7409"	"ENSG00000121691"	"ENSG00000087076"	"m1087"
"7410"	"ENSG00000121691"	"ENSG00000099377"	"m1087"
"7411"	"ENSG00000121691"	"ENSG00000100867"	"m1087"
"7412"	"ENSG00000121691"	"ENSG00000109854"	"m1087"
"7413"	"ENSG00000121691"	"ENSG00000121039"	"m1087"
"7414"	"ENSG00000121691"	"ENSG00000138400"	"m1087"
"7415"	"ENSG00000121691"	"ENSG00000139988"	"m1087"
"7416"	"ENSG00000121691"	"ENSG00000145439"	"m1087"
