"from"	"to"	"Metabolite"
"320"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000169710"	"m1010"
"322"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1010"
"323"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1010"
"324"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1010"
"325"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1010"
"326"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1010"
"327"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1010"
"329"	"ENSG00000072210"	"ENSG00000134538"	"m1010"
"330"	"ENSG00000072210"	"ENSG00000023839"	"m1010"
"331"	"ENSG00000072210"	"ENSG00000103222"	"m1010"
"332"	"ENSG00000072210"	"ENSG00000108846"	"m1010"
"333"	"ENSG00000072210"	"ENSG00000105398"	"m1010"
"334"	"ENSG00000072210"	"ENSG00000169710"	"m1010"
"336"	"ENSG00000178700"	"ENSG00000134538"	"m1010"
"337"	"ENSG00000178700"	"ENSG00000023839"	"m1010"
"338"	"ENSG00000178700"	"ENSG00000103222"	"m1010"
"339"	"ENSG00000178700"	"ENSG00000108846"	"m1010"
"340"	"ENSG00000178700"	"ENSG00000105398"	"m1010"
"341"	"ENSG00000178700"	"ENSG00000169710"	"m1010"
"343"	"ENSG00000059573"	"ENSG00000134538"	"m1010"
"344"	"ENSG00000059573"	"ENSG00000023839"	"m1010"
"345"	"ENSG00000059573"	"ENSG00000103222"	"m1010"
"346"	"ENSG00000059573"	"ENSG00000108846"	"m1010"
"347"	"ENSG00000059573"	"ENSG00000105398"	"m1010"
"348"	"ENSG00000059573"	"ENSG00000169710"	"m1010"
"364"	"ENSG00000138413"	"ENSG00000134538"	"m1010"
"365"	"ENSG00000138413"	"ENSG00000023839"	"m1010"
"366"	"ENSG00000138413"	"ENSG00000103222"	"m1010"
"367"	"ENSG00000138413"	"ENSG00000108846"	"m1010"
"368"	"ENSG00000138413"	"ENSG00000105398"	"m1010"
"369"	"ENSG00000138413"	"ENSG00000169710"	"m1010"
"371"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1010"
"372"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1010"
"373"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1010"
"374"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1010"
"375"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1010"
"376"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1010"
"392"	"ENSG00000100714"	"ENSG00000134538"	"m1010"
"393"	"ENSG00000100714"	"ENSG00000023839"	"m1010"
"394"	"ENSG00000100714"	"ENSG00000103222"	"m1010"
"395"	"ENSG00000100714"	"ENSG00000108846"	"m1010"
"396"	"ENSG00000100714"	"ENSG00000105398"	"m1010"
"397"	"ENSG00000100714"	"ENSG00000169710"	"m1010"
"400"	"ENSG00000176974"	"ENSG00000087008"	"m1011"
"401"	"ENSG00000176974"	"ENSG00000161533"	"m1011"
"406"	"ENSG00000176974"	"ENSG00000169710"	"m1011"
"408"	"ENSG00000176974"	"ENSG00000100372"	"m1011"
"415"	"ENSG00000153574"	"ENSG00000087008"	"m1011"
"416"	"ENSG00000153574"	"ENSG00000161533"	"m1011"
"421"	"ENSG00000153574"	"ENSG00000169710"	"m1011"
"423"	"ENSG00000153574"	"ENSG00000100372"	"m1011"
"445"	"ENSG00000100714"	"ENSG00000087008"	"m1011"
"446"	"ENSG00000100714"	"ENSG00000161533"	"m1011"
"453"	"ENSG00000100714"	"ENSG00000100372"	"m1011"
"460"	"ENSG00000117054"	"ENSG00000087008"	"m1011"
"461"	"ENSG00000117054"	"ENSG00000161533"	"m1011"
"466"	"ENSG00000117054"	"ENSG00000169710"	"m1011"
"468"	"ENSG00000117054"	"ENSG00000100372"	"m1011"
