"from"	"to"	"Metabolite"
"475"	"ENSG00000134538"	"ENSG00000182050"	"m1100"
"477"	"ENSG00000072778"	"ENSG00000180432"	"m1101"
"480"	"ENSG00000180432"	"ENSG00000196502"	"m1106"
"481"	"ENSG00000180432"	"ENSG00000197165"	"m1106"
"482"	"ENSG00000180432"	"ENSG00000213648"	"m1106"
"483"	"ENSG00000180432"	"ENSG00000261052"	"m1106"
"484"	"ENSG00000180432"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"m1106"
"487"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000156110"	"m1113"
"488"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000156136"	"m1113"
"489"	"ENSG00000149742"	"ENSG00000152463"	"m1115"
"490"	"ENSG00000149742"	"ENSG00000169710"	"m1115"
"493"	"ENSG00000165841"	"ENSG00000183044"	"m1118"
"496"	"ENSG00000088305 and ENSG00000130816"	"ENSG00000088826"	"m1122"
"499"	"ENSG00000100156"	"ENSG00000169710"	"m1127"
"515"	"ENSG00000169710"	"ENSG00000100156"	"m1136"
"516"	"ENSG00000169710"	"ENSG00000108932"	"m1136"
"517"	"ENSG00000169710"	"ENSG00000118596"	"m1136"
"518"	"ENSG00000169710"	"ENSG00000141526"	"m1136"
"519"	"ENSG00000169710"	"ENSG00000155380"	"m1136"
"520"	"ENSG00000169710"	"ENSG00000168679"	"m1136"
"521"	"ENSG00000169710"	"ENSG00000170190"	"m1136"
"522"	"ENSG00000100156"	"ENSG00000019186"	"m1138"
"523"	"ENSG00000169710"	"ENSG00000073734"	"m1139"
"524"	"ENSG00000169710"	"ENSG00000103222"	"m1139"
"525"	"ENSG00000169710"	"ENSG00000108846"	"m1139"
"526"	"ENSG00000169710"	"ENSG00000125257"	"m1139"
"527"	"ENSG00000169710"	"ENSG00000163959"	"m1139"
"528"	"ENSG00000169710"	"ENSG00000186198"	"m1139"
"529"	"ENSG00000074800"	"ENSG00000103257"	"m1144"
"530"	"ENSG00000057252"	"ENSG00000103257"	"m1144"
"546"	"ENSG00000099797"	"ENSG00000104823"	"m1152"
"547"	"ENSG00000099797"	"ENSG00000167969"	"m1152"
"548"	"ENSG00000099797"	"ENSG00000198721"	"m1152"
"549"	"ENSG00000099797"	"ENSG00000074696"	"m1152"
"550"	"ENSG00000099797"	"ENSG00000146066"	"m1152"
"551"	"ENSG00000099797"	"ENSG00000165996"	"m1152"
"552"	"ENSG00000099797"	"ENSG00000188921"	"m1152"
"553"	"ENSG00000099797"	"ENSG00000206527"	"m1152"
"554"	"ENSG00000104823"	"ENSG00000057252"	"m1154"
"555"	"ENSG00000104823"	"ENSG00000167780"	"m1154"
"556"	"ENSG00000162365"	"ENSG00000162365"	"m1159"
"557"	"ENSG00000162365"	"ENSG00000187048"	"m1159"
"558"	"ENSG00000114902 and ENSG00000118363 and ENSG00000129128 and ENSG00000140612 and ENSG00000166562"	"ENSG00000112499"	"m1160"
"559"	"ENSG00000125166"	"ENSG00000146701"	"m1164"
"560"	"ENSG00000112499"	"ENSG00000138109"	"m1166"
"561"	"ENSG00000112499"	"ENSG00000165841"	"m1166"
