"from"	"to"	"Metabolite"
"28559"	"ENSG00000006534"	"ENSG00000127884"	"m1117"
"28560"	"ENSG00000006534"	"ENSG00000130304"	"m1117"
"28561"	"ENSG00000006534"	"ENSG00000133835"	"m1117"
"28562"	"ENSG00000006534"	"ENSG00000136881"	"m1117"
"28563"	"ENSG00000006534"	"ENSG00000138029"	"m1117"
"28564"	"ENSG00000006534"	"ENSG00000138796"	"m1117"
"28566"	"ENSG00000006534"	"ENSG00000143554"	"m1117"
"28567"	"ENSG00000006534"	"ENSG00000157426"	"m1117"
"28568"	"ENSG00000006534"	"ENSG00000161533"	"m1117"
"28569"	"ENSG00000006534"	"ENSG00000167107"	"m1117"
"28570"	"ENSG00000006534"	"ENSG00000167114"	"m1117"
"28571"	"ENSG00000006534"	"ENSG00000167315"	"m1117"
"28572"	"ENSG00000006534"	"ENSG00000176715"	"m1117"
"28573"	"ENSG00000006534"	"ENSG00000177465"	"m1117"
"28574"	"ENSG00000006534"	"ENSG00000184227"	"m1117"
"28575"	"ENSG00000006534"	"ENSG00000242110"	"m1117"
"28576"	"ENSG00000006534"	"ENSG00000006534"	"m1117"
"28577"	"ENSG00000006534"	"ENSG00000108602"	"m1117"
"28578"	"ENSG00000006534"	"ENSG00000132746"	"m1117"
"28579"	"ENSG00000006534"	"ENSG00000184254"	"m1117"
"28580"	"ENSG00000006534"	"ENSG00000171298"	"m1117"
"28582"	"ENSG00000006534"	"ENSG00000002726"	"m1117"
"28583"	"ENSG00000006534"	"ENSG00000131471"	"m1117"
"28584"	"ENSG00000006534"	"ENSG00000131480"	"m1117"
"28634"	"ENSG00000107798"	"ENSG00000033100"	"m1117"
"28635"	"ENSG00000107798"	"ENSG00000123989"	"m1117"
"28636"	"ENSG00000107798"	"ENSG00000131873"	"m1117"
"28637"	"ENSG00000107798"	"ENSG00000198108"	"m1117"
"28641"	"ENSG00000107798"	"ENSG00000113273"	"m1117"
"28642"	"ENSG00000107798"	"ENSG00000111817"	"m1117"
"28643"	"ENSG00000107798"	"ENSG00000111962"	"m1117"
"28645"	"ENSG00000107798"	"ENSG00000104808"	"m1117"
"28646"	"ENSG00000107798"	"ENSG00000151632"	"m1117"
"28647"	"ENSG00000107798"	"ENSG00000187134"	"m1117"
"28648"	"ENSG00000107798"	"ENSG00000196139"	"m1117"
"28649"	"ENSG00000107798"	"ENSG00000198610"	"m1117"
"28678"	"ENSG00000107798"	"ENSG00000171298"	"m1117"
"28733"	"ENSG00000072210"	"ENSG00000105398"	"m1118"
"28734"	"ENSG00000072210"	"ENSG00000023839"	"m1118"
"28735"	"ENSG00000072210"	"ENSG00000103222"	"m1118"
"28736"	"ENSG00000072210"	"ENSG00000108846"	"m1118"
"28737"	"ENSG00000072210"	"ENSG00000169710"	"m1118"
"28738"	"ENSG00000072210"	"ENSG00000134538"	"m1118"
"28740"	"ENSG00000178700"	"ENSG00000105398"	"m1118"
"28741"	"ENSG00000178700"	"ENSG00000023839"	"m1118"
"28742"	"ENSG00000178700"	"ENSG00000103222"	"m1118"
"28743"	"ENSG00000178700"	"ENSG00000108846"	"m1118"
"28744"	"ENSG00000178700"	"ENSG00000169710"	"m1118"
"28745"	"ENSG00000178700"	"ENSG00000134538"	"m1118"
"28747"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000105398"	"m1118"
"28748"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000023839"	"m1118"
"28749"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000103222"	"m1118"
"28750"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000108846"	"m1118"
"28751"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000169710"	"m1118"
"28752"	"ENSG00000091140 and ENSG00000140905 and ENSG00000145020 and ENSG00000178445"	"ENSG00000134538"	"m1118"
"28761"	"ENSG00000138413"	"ENSG00000105398"	"m1118"
"28762"	"ENSG00000138413"	"ENSG00000023839"	"m1118"
"28763"	"ENSG00000138413"	"ENSG00000103222"	"m1118"
"28764"	"ENSG00000138413"	"ENSG00000108846"	"m1118"
"28765"	"ENSG00000138413"	"ENSG00000169710"	"m1118"
"28766"	"ENSG00000138413"	"ENSG00000134538"	"m1118"
"28768"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000105398"	"m1118"
"28769"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000023839"	"m1118"
"28770"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000103222"	"m1118"
"28771"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000108846"	"m1118"
"28772"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000169710"	"m1118"
"28773"	"ENSG00000084754 and ENSG00000113790 and ENSG00000127884"	"ENSG00000134538"	"m1118"
"28782"	"ENSG00000161267"	"ENSG00000105398"	"m1118"
"28783"	"ENSG00000161267"	"ENSG00000023839"	"m1118"
"28784"	"ENSG00000161267"	"ENSG00000103222"	"m1118"
"28785"	"ENSG00000161267"	"ENSG00000108846"	"m1118"
"28786"	"ENSG00000161267"	"ENSG00000169710"	"m1118"
"28787"	"ENSG00000161267"	"ENSG00000134538"	"m1118"
"28796"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000105398"	"m1118"
"28797"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000023839"	"m1118"
"28798"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000103222"	"m1118"
"28799"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000108846"	"m1118"
"28801"	"ENSG00000084754 and ENSG00000138029 and ENSG00000167315"	"ENSG00000134538"	"m1118"
"28817"	"ENSG00000113161"	"ENSG00000105398"	"m1118"
"28818"	"ENSG00000113161"	"ENSG00000023839"	"m1118"
"28819"	"ENSG00000113161"	"ENSG00000103222"	"m1118"
"28820"	"ENSG00000113161"	"ENSG00000108846"	"m1118"
"28821"	"ENSG00000113161"	"ENSG00000169710"	"m1118"
"28822"	"ENSG00000113161"	"ENSG00000134538"	"m1118"
"28824"	"ENSG00000059573"	"ENSG00000105398"	"m1118"
"28825"	"ENSG00000059573"	"ENSG00000023839"	"m1118"
"28826"	"ENSG00000059573"	"ENSG00000103222"	"m1118"
"28827"	"ENSG00000059573"	"ENSG00000108846"	"m1118"
"28828"	"ENSG00000059573"	"ENSG00000169710"	"m1118"
"28829"	"ENSG00000059573"	"ENSG00000134538"	"m1118"
"28831"	"ENSG00000100714"	"ENSG00000105398"	"m1118"
"28832"	"ENSG00000100714"	"ENSG00000023839"	"m1118"
"28833"	"ENSG00000100714"	"ENSG00000103222"	"m1118"
"28834"	"ENSG00000100714"	"ENSG00000108846"	"m1118"
"28835"	"ENSG00000100714"	"ENSG00000169710"	"m1118"
"28836"	"ENSG00000100714"	"ENSG00000134538"	"m1118"
"28850"	"ENSG00000100714"	"ENSG00000087008"	"m1119"
"28851"	"ENSG00000100714"	"ENSG00000161533"	"m1119"
"28852"	"ENSG00000100714"	"ENSG00000100372"	"m1119"
"28880"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000087008"	"m1119"
"28881"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000161533"	"m1119"
"28882"	"ENSG00000072506 and ENSG00000084754 and ENSG00000138796"	"ENSG00000100372"	"m1119"
"28895"	"ENSG00000120915"	"ENSG00000087008"	"m1119"
"28896"	"ENSG00000120915"	"ENSG00000161533"	"m1119"
"28897"	"ENSG00000120915"	"ENSG00000100372"	"m1119"
"28904"	"ENSG00000111058"	"ENSG00000169710"	"m1119"
"28910"	"ENSG00000111058"	"ENSG00000087008"	"m1119"
"28911"	"ENSG00000111058"	"ENSG00000161533"	"m1119"
"28912"	"ENSG00000111058"	"ENSG00000100372"	"m1119"
"28919"	"ENSG00000147119"	"ENSG00000169710"	"m1119"
"28925"	"ENSG00000147119"	"ENSG00000087008"	"m1119"
"28926"	"ENSG00000147119"	"ENSG00000161533"	"m1119"
"28927"	"ENSG00000147119"	"ENSG00000100372"	"m1119"
"28934"	"ENSG00000106633"	"ENSG00000169710"	"m1119"
"28940"	"ENSG00000106633"	"ENSG00000087008"	"m1119"
"28941"	"ENSG00000106633"	"ENSG00000161533"	"m1119"
"28942"	"ENSG00000106633"	"ENSG00000100372"	"m1119"
"28949"	"ENSG00000117054"	"ENSG00000169710"	"m1119"
"28955"	"ENSG00000117054"	"ENSG00000087008"	"m1119"
"28956"	"ENSG00000117054"	"ENSG00000161533"	"m1119"
"28957"	"ENSG00000117054"	"ENSG00000100372"	"m1119"
"28972"	"ENSG00000107798"	"ENSG00000100372"	"m1119"
"29024"	"ENSG00000104522"	"ENSG00000169710"	"m1119"
"29030"	"ENSG00000104522"	"ENSG00000087008"	"m1119"
"29031"	"ENSG00000104522"	"ENSG00000161533"	"m1119"
"29032"	"ENSG00000104522"	"ENSG00000100372"	"m1119"
"29039"	"ENSG00000117308"	"ENSG00000169710"	"m1119"
"29045"	"ENSG00000117308"	"ENSG00000087008"	"m1119"
"29046"	"ENSG00000117308"	"ENSG00000161533"	"m1119"
"29047"	"ENSG00000117308"	"ENSG00000100372"	"m1119"
"29054"	"ENSG00000162066"	"ENSG00000169710"	"m1119"
"29060"	"ENSG00000162066"	"ENSG00000087008"	"m1119"
"29061"	"ENSG00000162066"	"ENSG00000161533"	"m1119"
"29062"	"ENSG00000162066"	"ENSG00000100372"	"m1119"
"29069"	"ENSG00000157353"	"ENSG00000169710"	"m1119"
"29075"	"ENSG00000157353"	"ENSG00000087008"	"m1119"
"29076"	"ENSG00000157353"	"ENSG00000161533"	"m1119"
"29077"	"ENSG00000157353"	"ENSG00000100372"	"m1119"
"29084"	"ENSG00000100116"	"ENSG00000169710"	"m1119"
"29090"	"ENSG00000100116"	"ENSG00000087008"	"m1119"
"29091"	"ENSG00000100116"	"ENSG00000161533"	"m1119"
"29092"	"ENSG00000100116"	"ENSG00000100372"	"m1119"
"29114"	"ENSG00000153574"	"ENSG00000169710"	"m1119"
"29120"	"ENSG00000153574"	"ENSG00000087008"	"m1119"
"29121"	"ENSG00000153574"	"ENSG00000161533"	"m1119"
"29122"	"ENSG00000153574"	"ENSG00000100372"	"m1119"
"29129"	"ENSG00000176974"	"ENSG00000169710"	"m1119"
"29135"	"ENSG00000176974"	"ENSG00000087008"	"m1119"
